District,Price,Land Area,Floor,Bathroom,legal_status,Direction,Furniture,Have Mezzanine,Have Rooftop,Have Basement,Near Market,Near School,Near Hospital,Frontage,Securities Space,Have Car Park,Urgent Sale,Price/m2,Category
12,9.5,4.02535169073515,4.0,5.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1727272727272727,2
15,66.0,5.5254529391317835,4.0,3.4970445951980995,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.264,5
16,65.0,5.135798437050262,3.0,3.197999289355587,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3846153846153846,5
8,5.0,4.060443010546419,4.0,10.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087719298245614,2
10,16.5,4.61512051684126,4.0,3.4970445951980995,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.165,5
14,65.0,5.60947179518496,11.0,5.339602049910873,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2389705882352941,5
4,5.5,4.119037174812473,3.0,3.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,2
19,55.0,5.081404364984463,3.0,3.197999289355587,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34375,5
3,1.19,3.367295829986474,2.0,2.0,2.0,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0424999999999999,2
12,12.5,4.59511985013459,5.0,5.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1275510204081632,2
8,6.49,4.442651256490317,2.6383333333333336,2.1648333333333336,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0772619047619047,2
9,11.1,4.330733340286331,4.0,6.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.148,2
18,11.5,4.248495242049359,5.0,6.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,2
14,65.0,6.966967138613983,1.0,6.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613207547169811,2
16,13.5,4.553876891600541,2.0,1.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1436170212765957,2
14,25.0,4.66814498514948,7.0,4.29369728800611,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2369668246445497,5
10,3.8,3.9512437185814275,3.0,3.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0745098039215686,2
11,31.0,5.3981627015177525,2.0,1.999800396433088,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1409090909090909,5
10,31.5,5.771441123130016,3.145,5.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0984375,5
4,3.9,4.68213122712422,1.95,2.0746243302344216,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0364485981308411,5
12,6.9,3.713572066704308,4.0,7.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1725,2
18,23.0,4.389498649512583,6.0,11.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889447236180905,2
11,13.2,4.110873864173311,3.0,4.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22,5
10,27.9,5.707110264748875,1.0,4.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.093,5
10,38.0,5.700443573390687,0.0,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1275167785234899,1
6,5.0,3.9318256327243257,2.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2
19,21.0,4.490881039585964,4.0,4.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.238095238095238,5
1,1.9,3.979681653901961,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0361904761904761,2
12,79.0,4.990432586778736,6.0,4.29369728800611,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.541095890410959,5
10,15.4,4.61512051684126,5.0,5.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,4
6,5.25,4.189654742026425,2.96,3.0,2.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0807692307692307,5
13,7.99,4.204692619390966,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.121060606060606,2
6,4.85,4.3067641501733345,1.0,1.5398880734803921,2.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0662568306010928,2
19,23.0,4.110873864173311,5.0,10.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833333333333333,4
10,17.5,4.709530201312334,4.0,3.4970445951980995,2.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1590909090909091,5
10,28.0,4.976733742420574,1.0,1.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1944444444444444,5
13,9.0,4.110873864173311,5.0,8.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2
12,13.6,4.709530201312334,2.0,4.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1236363636363636,2
12,9.1,4.04305126783455,4.0,4.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,2
10,68.0,5.342334251964811,7.0,4.29369728800611,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3269230769230769,5
12,25.0,4.90527477843843,3.0,3.197999289355587,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1865671641791045,5
14,8.2,4.143134726391533,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.132258064516129,5
7,17.0,4.532599493153256,5.0,6.0,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1847826086956521,5
9,15.0,4.23410650459726,3.0,3.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2205882352941176,5
12,9.5,4.394449154672439,4.0,5.0,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11875,2
10,35.0,5.049856007249537,4.0,6.0,2.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2258064516129032,4
10,15.54,4.51085950651685,4.0,4.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1726666666666666,4
14,7.4,4.204692619390966,4.0,5.0,2.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1121212121212121,2
18,13.5,4.07753744390572,3.0,3.197999289355587,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2327586206896551,2
5,5.45,4.02535169073515,2.0,2.0,2.0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.099090909090909,2
10,7.8,4.61512051684126,3.0,4.0,2.0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,2
10,13.0,5.327876168789581,1.0,1.5398880734803921,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0634146341463414,5
2,4.85,3.4965075614664802,3.0,2.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515625,2
10,7.99,4.394449154672439,4.0,5.0,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099875,2
12,13.2,4.204692619390966,3.0,3.197999289355587,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,2
6,7.2,4.23410650459726,3.0,3.197999289355587,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058823529411764,2
4,9.39,4.454347296253507,5.0,7.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104705882352941,2
19,62.0,5.2390980068880655,6.0,8.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3306666666666666,5
6,9.7,4.394449154672439,3.0,3.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12125,5
19,23.5,4.1588830833596715,3.0,4.0,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.373015873015873,5
4,7.9,4.394449154672439,3.0,4.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09875,5
10,27.0,4.9788005705762375,1.0,1.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1871101871101871,5
12,3.9,3.6375861597263857,3.0,2.527568426724816,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054054054054054,2
10,15.0,4.564348191467836,4.0,5.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1578947368421052,4
14,17.5,4.406719247264253,4.0,6.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2160493827160493,5
9,14.5,4.605170185988092,5.0,3.968098977428503,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1464646464646464,5
12,4.95,3.8918202981106265,2.0,1.999800396433088,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103125,2
13,6.25,3.6109179126442243,5.0,4.0,2.0,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736111111111111,2
6,3.9,3.713572066704308,1.0,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,2
16,18.0,4.174387269895637,4.0,5.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,2
11,32.0,4.61512051684126,5.0,3.968098977428503,2.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32,5
5,12.6,4.412798293340635,4.0,6.0,2.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.154601226993865,5
11,25.0,4.844187086458591,4.0,3.4970445951980995,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1984126984126984,5
12,4.8,4.110873864173311,2.0,6.536054979935785,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,2
6,2.45,3.1354942159291497,3.0,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1113636363636363,2
12,7.99,3.8577779905757503,5.0,4.0,2.0,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1723468507333908,2
